"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 02:10:00","EDT","MILLWD",61759,317.558
"07/12/2024 02:10:00","EDT","N.Y.C.",61761,6666.831
"07/12/2024 02:10:00","EDT","NORTH",61755,629.1854
"07/12/2024 02:10:00","EDT","WEST",61752,1700.0881
"07/12/2024 02:15:00","EDT","CAPITL",61757,1476.3585
"07/12/2024 02:15:00","EDT","CENTRL",61754,1663.9197
"07/12/2024 02:15:00","EDT","DUNWOD",61760,747.1465
"07/12/2024 02:15:00","EDT","GENESE",61753,1032.6669
"07/12/2024 02:15:00","EDT","HUD VL",61758,1140.4159
"07/12/2024 02:15:00","EDT","LONGIL",61762,2617.2307
"07/12/2024 02:15:00","EDT","MHK VL",61756,790.9048
"07/12/2024 02:15:00","EDT","MILLWD",61759,324.0643
"07/12/2024 02:15:00","EDT","N.Y.C.",61761,6662.3164
"07/12/2024 02:15:00","EDT","NORTH",61755,639.1533
"07/12/2024 02:15:00","EDT","WEST",61752,1703.3254
"07/12/2024 02:20:00","EDT","CAPITL",61757,1461.6929
"07/12/2024 02:20:00","EDT","CENTRL",61754,1686.6719
"07/12/2024 02:20:00","EDT","DUNWOD",61760,764.0632
"07/12/2024 02:20:00","EDT","GENESE",61753,1030.4465
"07/12/2024 02:20:00","EDT","HUD VL",61758,1149.8236
"07/12/2024 02:20:00","EDT","LONGIL",61762,2596.6143
"07/12/2024 02:20:00","EDT","MHK VL",61756,790.3994
"07/12/2024 02:20:00","EDT","MILLWD",61759,323.0325
"07/12/2024 02:20:00","EDT","N.Y.C.",61761,6628.603
"07/12/2024 02:20:00","EDT","NORTH",61755,629.6316
"07/12/2024 02:20:00","EDT","WEST",61752,1696.8053
"07/12/2024 02:25:00","EDT","CAPITL",61757,1451.2056
"07/12/2024 02:25:00","EDT","CENTRL",61754,1622.0532
"07/12/2024 02:25:00","EDT","DUNWOD",61760,750.7116
"07/12/2024 02:25:00","EDT","GENESE",61753,1034.5322
"07/12/2024 02:25:00","EDT","HUD VL",61758,1143.0159
"07/12/2024 02:25:00","EDT","LONGIL",61762,2586.2454
"07/12/2024 02:25:00","EDT","MHK VL",61756,792.9643
"07/12/2024 02:25:00","EDT","MILLWD",61759,323.861
"07/12/2024 02:25:00","EDT","N.Y.C.",61761,6621.62
"07/12/2024 02:25:00","EDT","NORTH",61755,643.2766
"07/12/2024 02:25:00","EDT","WEST",61752,1700.0532
"07/12/2024 02:30:00","EDT","CAPITL",61757,1453.6143
"07/12/2024 02:30:00","EDT","CENTRL",61754,1617.1077
"07/12/2024 02:30:00","EDT","DUNWOD",61760,748.5253
"07/12/2024 02:30:00","EDT","GENESE",61753,1029.5369
"07/12/2024 02:30:00","EDT","HUD VL",61758,1155.5549
"07/12/2024 02:30:00","EDT","LONGIL",61762,2574.684
"07/12/2024 02:30:00","EDT","MHK VL",61756,781.6299
"07/12/2024 02:30:00","EDT","MILLWD",61759,325.3711
