l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
87,32663174,184909077,220000,11,line,0,-3 x 220 kV + Electrode Line of HVDC Pacific DC Intertie,,14440.0,,,,,Yes
88,169403015,169402989,220000,3,line,60,,,53295.0,,,,,
89,169403015,168937751,220000,6,line,60,,,49439.0,,,,,Yes
90,169403015,168525615,220000,6,line,60,,,57063.0,,,,,Yes
91,49715848,394895304,220000,6,line,60,,Southern California Edison Company,2957.0,,,,,Yes
92,49715848,394895298,220000,6,line,60,,Southern California Edison Company,3412.0,,,,,Yes
93,77452171,77452160,220000,3,line,,,,76.0,0.08,0.32,11.5,1.3,
94,78797580,66157642,220000,6,line,60,,Southern California Edison Company,11272.0,,,,,
95,78797580,66209607,220000,6,line,60,,Southern California Edison Company,8023.0,0.04,0.16,23.0,2.6,
96,61960845,64161681,220000,6,line,60,,Southern California Edison,5053.0,,,,,Yes
97,61960845,65596865,220000,6,line,60,,Southern California Edison-Southern California Edison Company,14702.0,,,,,
98,64161681,59238979,220000,6,line,,,Southern California Edison,27589.0,0.04,0.16,23.0,2.6,Yes
99,61430467,33604038,220000,6,line,60,,,69616.0,,,,,Yes
100,61430467,33604800,220000,6,line,60,,,72497.0,0.04,0.16,23.0,2.6,Yes
101,389174036,66157642,220000,6,line,60,,Southern California Edison,13389.0,0.04,0.16,23.0,2.6,Yes
102,74839063,44154336,220000,6,line,60,,Southern California Edison Company,7165.0,0.04,0.16,23.0,2.6,
103,74839063,66157642,220000,6,line,60,220kV,Southern California Edison Company,15527.0,,,,,
104,74839063,65411731,220000,6,line,60,-220kV,Southern California Edison-Southern California Edison Company,22574.0,0.08,0.32,11.5,1.3,
105,74839063,75206072,220000,6,line,60,,Southern California Edison Company,6511.0,0.02,0.08,46.0,5.2,Yes
106,182050458,168525650,220000,3,line,60,,,1685.0,,,,,
107,168525615,88776835,220000,3,line,60,Antelope-Magunden #2,,13640.0,,,,,
108,168525615,168525650,220000,3,line,60,,,48124.0,,,,,
109,168525615,169514309,220000,3,line,60,,,80896.0,,,,,
110,32223005,66157642,220000,6,line,60,,Southern California Edison Company,9909.0,,,,,
111,32223005,27186594,220000,6,line,60,,Southern California Edison,8926.0,,,,,Yes
112,32223005,66158393,220000,6,line,60,,Southern California Edison Company,9558.0,,,,,
113,32223005,65596865,220000,6,line,60,,Southern California Edison Company,15634.0,,,,,Yes
114,32223005,62333225,220000,6,line,60,,Southern California Edison-Southern California Edison Company,36087.0,0.08,0.32,11.5,1.3,Yes
115,29175070,61961948,220000,6,line,,,Southern California Edison,13380.0,0.04,0.16,23.0,2.6,
116,384671109,126153864,220000,,line,,,Anaheim Public Utilities,1852.0,,,,,
117,169674289,169674295,220000,3,line,60,,,102.0,,,,,
118,169674289,169674288,220000,3,line,60,,,2704.0,,,,,
119,169674289,169326813,220000,3,line,60,,,7151.0,,,,,
120,383664682,75206072,220000,6,line,60,,Southern California Edison Company,1263.0,0.02,0.08,46.0,5.2,Yes
121,383664682,394895298,220000,3,cable,60,,Southern California Edison Company,709.0,,,,,
122,27186604,27186594,220000,3,line,60,,,163.0,,,,,
123,169674285,169514309,220000,3,line,60,,,79885.0,,,,,
124,169674286,169326813,220000,3,line,60,,,7512.0,,,,,
125,79440943,66209607,220000,6,line,60,,Southern California Edison-Southern California Edison Company,28827.0,0.04,0.16,23.0,2.6,Yes
126,79440943,66158393,220000,6,line,60,,Southern California Edison,34291.0,0.04,0.16,23.0,2.6,Yes
127,79440943,77339440,220000,6,line,60,,Southern California Edison,39737.0,0.04,0.16,23.0,2.6,Yes
128,79440943,384800363,220000,6,line,60,,Southern California Edison,10361.0,0.08,0.32,11.5,1.3,Yes
129,77339440,33605206,500000,6,line,,,Southern California Edison,10466.0,,,,,Yes
130,65596865,62333225,220000,6,line,60,,Southern California Edison,20523.0,0.08,0.32,11.5,1.3,Yes
131,27340751,419134986,220000,6,line,60,Moorpark-Ormond Beach,,35261.0,0.04,0.16,23.0,2.6,
132,27340751,91834998,220000,6,line,60,,,41733.0,0.04,0.16,23.0,2.6,Yes
133,65481169,65411731,220000,6,line,,,,2262.0,,,,,
134,168525650,91834998,220000,3,line,,,,62025.0,,,,,
135,168525650,64130145,220000,6,line,60,,,19914.0,,,,,Yes
136,168525650,168525614,220000,6,line,60,,,2289.0,,,,,Yes
137,168937751,168937739,220000,3,line,60,,,2018.0,,,,,
138,168937751,168937738,220000,3,line,60,,,70.0,,,,,
139,61961948,62333225,220000,6,line,60,,Southern California Edison,10203.0,0.04,0.16,23.0,2.6,Yes
140,164758880,164758876,220000,3,line,60,,,46227.0,,,,,
141,164758882,164758876,220000,3,line,60,,,34996.0,,,,,
142,75206115,44154336,220000,3,line,60,,,29.0,,,,,
143,37692647,419134986,220000,3,line,60,,,83.0,,,,,
144,384800363,384972421,220000,3,line,60,,,977.0,,,,,
145,182627500,79176953,230000,6,line,60,,,66619.0,,,,,Yes
146,166649175,90915109,230000,3,line,60,,,60216.0,,,,,
147,166649175,166649166,230000,3,line,60,,,97930.0,,,,,
148,119718924,167005130,230000,3,line,,,,124.0,,,,,
149,93128718,93128755,230000,3,line,,,,54048.0,0.16,0.64,5.75,0.65,
150,119718927,167005130,230000,3,line,,,San Diego Gas & Electric,257.0,,,,,
151,28875096,33108052,230000,6,line,60,,PG&E,56532.0,0.08,0.32,11.5,1.3,Yes
